Representative,year,Party
Charles W. Boustany Jr,2005,Republican
Dan Maffei,2009,Democrat
Daniel Milton Newhouse,2015,Republican
Donald M. Payne Jr,2012,Democrat
Douglas L Lamborn,2007,Republican
Douglas L. Lamborn,2007,Republican
Ed Case,2019,Democrat
Edwin G. Perlmutter,2007,Democrat
F James Sensenbrenner Jr.,1979,Republican
F. James Sensenbrenner Jr,1979,Republican
G K Butterfield,2004,Democrat
Jeff Van Drew,2019,Republican
John Barrow,2005,Democrat
John J Duncan Jr.,1988,Republican
John J. Duncan Jr,1988,Republican
Jose E Serrano,1989,Democrat
Jose E. Serrano,1989,Democrat
Kenneth R Buck,2015,Republican
Kenneth R. Buck,2015,Republican
Lee Terry,1999,Republican
Louis B Gohmert Jr.,2005,Republican
Louis B. Gohmert Jr,2005,Republican
Luis V Gutierrez,1993,Democrat
Luis V. Gutierrez,1993,Democrat
Michael Grimm,2013,Republican
Nanette Barragan,2017,Democrat
Nick Rahall,1997,Democrat
Nydia M Velazquez,1993,Democrat
Nydia M. Velazquez,2013,Democrat
Raul M Grijalva,2003,Democrat
Raul M. Grijalva,2003,Democrat
Richard W Allen,2015,Republican
Richard W. Allen,2015,Republican
Ron Barber,2012,Democrat
Steve Southerland,2011,Republican
Steven A. King,2003,Republican
Timothy H. Bishop,2003,Democrat
Tom O'Halleran,2017,Democrat
Tony Cardenas,2013,Democrat
Vance McAllister,2013,Republican
Walter B. Jones Jr,1995,Republican
William Enyart,2013,Democrat
William L. Clay Jr,2001,Democrat
Mark Harris,2019,Republican
Tom Garrett,2017,Republican
Bob Dold,2015,Republican
Charlie Dent,2005,Republican
Cresent Hardy,2015,Republican
Dave Reichert,2005,Republican
Dave Trott,2015,Republican
Dennis Heck,2011,Republican
Hal Rogers,1981,Republican
James Bridenstine,2013,Republican
Jim Baird,2019,Republican
Jim Renacci,2011,Republican
Joe Heck,2011,Republican
Joe Pitts,1997,Republican
Mike Conaway,2005,Republican
Mike Simpson,1999,Republican
Phil Roe,2009,Republican
Raul Labrador,2011,Republican
Steve Fincher,2011,Republican
Steve Knight,2015,Republican
Steve Pearce,2011,Republican
Steven Russell,2015,Republican
Tom Rooney,2009,Republican
Vernon Buchanan,2007,Republican
Aaron Schock,2009,Republican
Adam Kinzinger,2011,Republican
Adrian Smith,2007,Republican
Alan Nunnelee,2011,Republican
Alex Mooney,2015,Republican
Ander Crenshaw,2001,Republican
Andy Barr,2013,Republican
Andy Biggs,2017,Republican
Andy Harris,2011,Republican
Ann L Wagner,2013,Republican
Ann L. Wagner,2013,Republican
Anthony Gonzalez,2019,Republican
Austin Scott,2011,Republican
Barbara Comstock,2015,Republican
Barry Loudermilk,2015,Republican
Ben Cline,2019,Republican
Bill Flores,2011,Republican
Bill Huizenga,2011,Republican
Bill Johnson,2011,Republican
Bill Posey,2009,Republican
Bill Shuster,2001,Republican
Billy Long,2011,Republican
Blaine Luetkemeyer,2009,Republican
Blake Farenthold,2011,Republican
Bob Gibbs,2011,Republican
Bob Goodlatte,1993,Republican
Brad Wenstrup,2013,Republican
Bradley Byrne,2013,Republican
Brett Guthrie,2009,Republican
Brian Babin,2015,Republican
Brian Fitzpatrick,2017,Republican
Brian Mast,2017,Republican
Bruce Poliquin,2015,Republican
Bruce Westerman,2015,Republican
Bryan Steil,2019,Republican
Buddy Carter,2015,Republican
Candice S. Miller,2003,Republican
Carlos Curbelo,2015,Republican
Carol Miller,2019,Republican
Cathy McMorris Rodgers,2005,Republican
Chip Roy,2019,Republican
Chris Collins,2013,Republican
Chris Gibson,2011,Republican
Chris Smith,1981,Republican
Chris Stewart,2013,Republican
Chuck Fleischmann,2011,Republican
Claudia Tenney,2017,Republican
Clay Higgins,2017,Republican
Curt Clawson,2014,Republican
Cynthia Marie Lummis,2009,Republican
Dan Benishek,2011,Republican
Dan Crenshaw,2019,Republican
Dan Donovan,2015,Republican
Dan Meuser,2019,Republican
Dan Newhouse,2015,Republican
Dana Rohrabacher,1989,Republican
Daniel Webster,2011,Republican
Darin LaHood,2015,Republican
Darrell Issa,2001,Republican
Dave Brat,2014,Republican
David Jolly,2014,Republican
David Kustoff,2017,Republican
David McKinley,2011,Republican
David P Joyce,2013,Republican
David Rouzer,2015,Republican
David Schweikert,2011,Republican
David Valadao,2013,Republican
David Young,2015,Republican
Debbie Lesko,2018,Republican
Dennis Ross,2011,Republican
Denver Riggleman,2019,Republican
Devin Nunes,2003,Republican
Diane Black,2011,Republican
Don Bacon,2017,Republican
Don Young,1973,Republican
Doug Collins,2013,Republican
Doug LaMalfa,2013,Republican
Drew Ferguson,2017,Republican
Duncan D Hunter,2009,Republican
Duncan D. Hunter,2009,Republican
Dusty Johnson,2019,Republican
Ed Royce,1993,Republican
Ed Whitfield,1995,Republican
Elise Stefanik,2015,Republican
Erik Paulsen,2009,Republican
Evan Jenkins,2015,Republican
Francis Rooney,2017,Republican
Frank A. LoBiondo,1995,Republican
Frank D Lucas,1994,Republican
Frank D. Lucas,1994,Republican
Frank Guinta,2015,Republican
Frank LoBiondo,1995,Republican
Fred Upton,1987,Republican
French Hill,2015,Republican
Garret Graves,2015,Republican
Gary Palmer,2015,Republican
George Holding,2013,Republican
Glenn S Grothman,2015,Republican
Glenn S. Grothman,2015,Republican
Glenn Thompson,2009,Republican
Greg Gianforte,2017,Republican
Greg Pence,2019,Republican
Greg Steube,2019,Republican
Greg Walden,1999,Republican
Gregg Harper,2009,Republican
Gus Bilirakis,2007,Republican
Guy Reschenthaler,2019,Republican
Ileana Ros-Lehtinen,1989,Republican
Jackie Walorski,2013,Republican
Jaime Herrera Beutler,2011,Republican
James Comer,2016,Republican
Jason Chaffetz,2009,Republican
Jason Lewis,2017,Republican
Jason Smith,2013,Republican
Jeb Hensarling,2003,Republican
Jeff Denham,2011,Republican
Jeff Duncan,2011,Republican
Jeff Fortenberry,2005,Republican
Jeff Miller,2001,Republican
Jim Banks,2017,Republican
Jim Hagedorn,2019,Republican
Jim Jordan,2007,Republican
Jodey Arrington,2017,Republican
Jody B Hice,2015,Republican
Jody B. Hice,2015,Republican
Jody Hice,2015,Republican
Joe Barton,1985,Republican
Joe Wilson,2001,Republican
John Bergman,2017,Republican
John Boehner,1991,Republican
John Carter,2003,Republican
John Culberson,2001,Republican
John Curtis,2017,Republican
John Faso,2017,Republican
John Fleming,2009,Republican
John Joyce,2019,Republican
John Katko,2015,Republican
John Kline,2003,Republican
John L Mica,1993,Republican
John L. Mica,1993,Republican
John Lee Ratcliffe,2015,Republican
John M Shimkus,1997,Republican
John M. Shimkus,1997,Republican
John Moolenaar,2015,Republican
John Rose,2019,Republican
John Rutherford,2017,Republican
Justin Amash,2011,Republican
Karen Handel,2017,Republican
Kay Granger,1997,Republican
Keith J Rothfus,2013,Republican
Keith J. Rothfus,2013,Republican
Kelly Armstrong,2019,Republican
Ken Buck,2015,Republican
Ken Calvert,1993,Republican
Kenny Marchant,2005,Republican
Kevin Brady,1997,Republican
Kevin Cramer,2013,Republican
Kevin Hern,2018,Republican
Kevin McCarthy,2007,Republican
Kevin Yoder,2011,Republican
Kristi Noem,2011,Republican
Lamar Smith,1987,Republican
Lance Gooden,2019,Republican
Larry Bucshon,2011,Republican
Lee Zeldin,2015,Republican
Leonard Lance,2009,Republican
Liz Cheney,2017,Republican
Lloyd Smucker,2017,Republican
Lou Barletta,2011,Republican
Luke Messer,2013,Republican
Lynn A. Westmoreland,2005,Republican
Lynn Jenkins,2009,Republican
Mac Thornberry,1995,Republican
Mario Diaz-Balart,2003,Republican
Mark Amodei,2011,Republican
Mark Green,2019,Republican
Mark R Meadows,2013,Republican
Mark R. Meadows,2013,Republican
Mark Sanford,2013,Republican
Mark Walker,2015,Republican
Markwayne Mullin,2013,Republican
Marlin Stutzman,2010,Republican
Marsha Blackburn,2003,Republican
Martha McSally,2015,Republican
Martha Roby,2011,Republican
Matt Gaetz,2017,Republican
Matt Salmon,2013,Republican
Mia Love,2015,Republican
Michael Burgess,2003,Republican
Michael Cloud,2018,Republican
Michael G. Fitzpatrick,2011,Republican
Michael McCaul,2005,Republican
Michael Patrick Guest,2019,Republican
Michael R Turner,2003,Republican
Michael R. Turner,2003,Republican
Michael Waltz,2019,Republican
Mick Mulvaney,2011,Republican
Mike Bishop,2015,Republican
Mike Bost,2015,Republican
Mike Coffman,2009,Republican
Mike D Rogers,2003,Republican
Mike D. Rogers,2003,Republican
Mike Gallagher,2017,Republican
Mike Johnson,2017,Republican
Mike Kelly,2011,Republican
Mike Pompeo,2011,Republican
Mimi Walters,2015,Republican
Mo Brooks,2011,Republican
Morgan Griffith,2011,Republican
Neal Dunn,2017,Republican
Pat Tiberi,2001,Republican
Patrick J. Tiberi,2001,Republican
Patrick McHenry,2005,Republican
Patrick Meehan,2011,Republican
Paul Cook,2013,Republican
Paul Gosar,2011,Republican
Paul Mitchell,2017,Republican
Paul Ryan,1999,Republican
Pete King,1993,Republican
Pete Olson,2009,Republican
Pete Sessions,1997,Republican
Pete Stauber,2019,Republican
Peter Roskam,2007,Republican
Ralph Abraham,2015,Republican
Ralph Norman,2017,Republican
Randy Forbes,2001,Republican
Randy Hultgren,2011,Republican
Randy Neugebauer,2003,Republican
Randy Weber,2013,Republican
Reid Ribble,2011,Republican
Renee Ellmers,2011,Republican
Richard Hanna,2011,Republican
Richard Hudson,2013,Republican
Richard Nugent,2011,Republican
Rick Crawford,2011,Republican
Rob Bishop,2003,Republican
Rob Wittman,2007,Republican
Rob Woodall,2011,Republican
Robert B Aderholt,1997,Republican
Robert B. Aderholt,1997,Republican
Robert E Latta,2007,Republican
Robert E. Latta,2007,Republican
Robert Hurt,2011,Republican
Robert Pittenger,2013,Republican
Rod Blum,2015,Republican
Rodney Davis,2013,Republican
Rodney Frelinghuysen,1995,Republican
Roger Marshall,2017,Republican
Roger Williams,2013,Republican
Ron DeSantis,2013,Republican
Ron Estes,2017,Republican
Ron Wright,2019,Republican
Ross Spano,2019,Republican
Russ Fulcher,2019,Republican
Ryan Costello,2015,Republican
Ryan K Zinke,2015,Republican
Ryan K. Zinke,2015,Republican
Sam Graves,2001,Republican
Sam Johnson,1991,Republican
Scott Desjarlais,2011,Republican
Scott Garrett,2003,Republican
Scott Perry,2013,Republican
Scott Rigell,2011,Republican
Scott Tipton,2011,Republican
Scott W Taylor,2017,Republican
Sean P Duffy,2011,Republican
Sean P. Duffy,2011,Republican
Steve Chabot,2011,Republican
Steve Scalise,2008,Republican
Steve Stivers,2011,Republican
Steve Watkins,2019,Republican
Steve Womack,2011,Republican
Steven Palazzo,2011,Republican
Susan Brooks,2013,Republican
Ted Budd,2017,Republican
Ted Poe,2005,Republican
Ted Yoho,2013,Republican
Thomas MacArthur,2015,Republican
Thomas Massie,2012,Republican
Tim Burchett,2019,Republican
Tim Huelskamp,2011,Republican
Tim Murphy,2003,Republican
Tim Walberg,2011,Republican
Todd Rokita,2011,Republican
Todd Young,2011,Republican
Tom Cole,2003,Republican
Tom Emmer,2015,Republican
Tom Graves,2010,Republican
Tom Marino,2011,Republican
Tom McClintock,2009,Republican
Tom Price,2005,Republican
Tom Reed,2010,Republican
Tom Rice,2013,Republican
Trent Franks,2003,Republican
Trent Kelly,2015,Republican
Trey Gowdy,2011,Republican
Trey Hollingsworth,2017,Republican
Troy Balderson,2018,Republican
Van Taylor,2019,Republican
Vicky Hartzler,2011,Republican
Virginia Foxx,2005,Republican
Walter B Jones Jr.,1995,Republican
Warren Davidson,2016,Republican
Will Hurd,2015,Republican
William Timmons,2019,Republican
Bonnie Coleman,2015,Democrat
Jesus Garcia,2019,Democrat
Joe Garcia,2013,Democrat
Katie Hill,2019,Democrat
Linda Sanchez,2013,Democrat
Pete Gallego,2013,Democrat
Bill Keating,2011,Democrat
Cindy Axne,2019,Democrat
Gerry Connolly,2009,Democrat
Jacky Rosen,2017,Democrat
Jim Himes,2009,Democrat
Jim Langevin,2001,Democrat
Joe Kennedy III,2013,Democrat
Joseph Neguse,2019,Democrat
Lou Correa,2017,Democrat
Mike Doyle,1995,Democrat
Mike Honda,2001,Democrat
Rick Nolan,2013,Democrat
Ruben Hinojosa,1997,Democrat
Ted Deutch,2010,Democrat
Tom Suozzi,2017,Democrat
Andre Carson,2008,Democrat
Ben R Lujan,2009,Democrat
Ben R. Lujan,2009,Democrat
Ben Ray Lujan,2009,Democrat
Abby Finkenauer,2019,Democrat
Abigail Spanberger,2019,Democrat
Adam Schiff,2001,Democrat
Adam Smith,1997,Democrat
Adriano Espaillat,2017,Democrat
Al Green,2005,Democrat
Al Lawson,2017,Democrat
Alan Grayson,2013,Democrat
Alan Lowenthal,2013,Democrat
Albio Sires,2006,Democrat
Alcee L Hastings,1993,Democrat
Alcee L. Hastings,1993,Democrat
Alexandria Ocasio-Cortez,2019,Democrat
Alma Adams,2014,Democrat
Ami Bera,2013,Democrat
Andy Kim,2019,Democrat
Andy Levin,2019,Democrat
Angie Craig,2019,Democrat
Ann Kirkpatrick,2013,Democrat
Ann Kuster,2013,Democrat
Ann Mclane Kuster,2013,Democrat
Anna Eshoo,1993,Democrat
Anthony Brindisi,2019,Democrat
Anthony Brown,2017,Democrat
Antonio Delgado,2019,Democrat
Ayanna Pressley,2019,Democrat
Barbara Lee,1998,Democrat
Ben McAdams,2019,Democrat
Bennie G Thompson,1993,Democrat
Bennie G. Thompson,1993,Democrat
Beto O'Rourke,2013,Democrat
Betty McCollum,2001,Democrat
Bill Foster,2013,Democrat
Bill Pascrell Jr,1997,Democrat
Bill Pascrell Jr.,1997,Democrat
Bobby L Rush,1993,Democrat
Bobby L. Rush,1993,Democrat
Bobby Scott,1993,Democrat
Brad Ashford,2015,Democrat
Brad Schneider,2017,Democrat
Brad Sherman,1997,Democrat
Brenda Lawrence,2015,Democrat
Brendan Boyle,2015,Democrat
Brian M Higgins,2005,Democrat
Brian M. Higgins,2005,Democrat
Carol Shea-Porter,2017,Democrat
Carolyn B Maloney,1993,Democrat
Carolyn B. Maloney,1993,Democrat
Cedric Richmond,2011,Democrat
Chaka Fattah,1995,Democrat
Charles B. Rangel,1971,Democrat
Charlie Crist,2017,Democrat
Chellie Pingree,2009,Democrat
Cheri Bustos,2013,Democrat
Chris Pappas,2019,Democrat
Chris Van Hollen,2003,Democrat
Chrissy Houlahan,2019,Democrat
Colin Allred,2019,Democrat
Colleen Hanabusa,2016,Democrat
Collin Peterson,1991,Democrat
Corrine Brown,1993,Democrat
Dan Kildee,2013,Democrat
Daniel Lipinski,2005,Democrat
Danny K Davis,1997,Democrat
Danny K. Davis,1997,Democrat
Darren Soto,2017,Democrat
David Cicilline,2011,Democrat
David Loebsack,2007,Democrat
David Price,1997,Democrat
David Scott,2003,Democrat
David Trone,2019,Democrat
Dean Phillips,2019,Democrat
Debbie Dingell,2015,Democrat
Debbie Mucarsel-Powell,2019,Democrat
Debbie Wasserman Schultz,2005,Democrat
Debra Haaland,2019,Democrat
Derek Kilmer,2013,Democrat
Diana DeGette,1997,Democrat
Dina Titus,2013,Democrat
Don Beyer,2015,Democrat
Don Norcross,2014,Democrat
Donald M Payne Jr.,2012,Democrat
Donald McEachin,2017,Democrat
Donna Edwards,2008,Democrat
Donna Shalala,2019,Democrat
Doris O Matsui,2005,Democrat
Doris O. Matsui,2005,Democrat
Dutch Ruppersberger,2003,Democrat
Dwight Evans,2016,Democrat
Earl Blumenauer,1996,Democrat
Ed Perlmutter,2007,Democrat
Eddie Bernice Johnson,1993,Democrat
Elaine Luria,2019,Democrat
Elijah E Cummings,1996,Democrat
Elijah E. Cummings,1996,Democrat
Eliot L Engel,1989,Democrat
Eliot L. Engel,1989,Democrat
Elissa Slotkin,2019,Democrat
Elizabeth Esty,2013,Democrat
Emanuel Cleaver,2005,Democrat
Eric Swalwell,2013,Democrat
Filemon Vela,2013,Democrat
Frank Pallone Jr,1988,Democrat
Frank Pallone Jr.,1988,Democrat
Frederica Wilson,2011,Democrat
G. K. Butterfield,2004,Democrat
Gene Green,1993,Democrat
Gil Cisneros,2019,Democrat
Grace Meng,2013,Democrat
Grace Napolitano,1999,Democrat
Greg Stanton,2019,Democrat
Gregory W Meeks,1998,Democrat
Gregory W. Meeks,1998,Democrat
Gwen Graham,2015,Democrat
Gwen Moore,2005,Democrat
Hakeem Jeffries,2013,Democrat
Haley Stevens,2019,Democrat
Hank Johnson,2007,Democrat
Harley Rouda,2019,Democrat
Henry Cuellar,2005,Democrat
Ilhan Omar,2019,Democrat
Jackie Speier,2008,Democrat
Jahana Hayes,2019,Democrat
James E Clyburn,1993,Democrat
James E. Clyburn,1993,Democrat
James P McGovern,1997,Democrat
James P. McGovern,1997,Democrat
Jamie Raskin,2017,Democrat
Jan Schakowsky,1999,Democrat
Janice Hahn,2011,Democrat
Jared Golden,2019,Democrat
Jared Huffman,2013,Democrat
Jared Polis,2009,Democrat
Jason Crow,2019,Democrat
Jennifer Wexton,2019,Democrat
Jerrold Nadler,1992,Democrat
Jerry McNerney,2007,Democrat
Jim Cooper,2003,Democrat
Jim Costa,2005,Democrat
Jim McDermott,1989,Democrat
Jimmy Gomez,2017,Democrat
Jimmy Panetta,2017,Democrat
Joaquin Castro,2013,Democrat
Joe Courtney,2007,Democrat
Joe Cunningham,2019,Democrat
John A Yarmuth,2007,Democrat
John A. Yarmuth,2007,Democrat
John B Larson,1999,Democrat
John B. Larson,1999,Democrat
John Carney,2011,Democrat
John Conyers Jr,1965,Democrat
John Conyers Jr.,1965,Democrat
John Garamendi,2009,Democrat
John K Delaney,2013,Democrat
John K. Delaney,2013,Democrat
John Lewis,1987,Democrat
John Sarbanes,2007,Democrat
Joseph Crowley,1999,Democrat
Joseph D Morelle,2018,Democrat
Josh Gottheimer,2017,Democrat
Josh Harder,2019,Democrat
Joyce Beatty,2013,Democrat
Juan Vargas,2013,Democrat
Judy Chu,2009,Democrat
Julia Brownley,2013,Democrat
Karen Bass,2011,Democrat
Katherine Clark,2013,Democrat
Kathleen Rice,2015,Democrat
Kathy Castor,2007,Democrat
Katie Porter,2019,Democrat
Keith Ellison,2007,Democrat
Kendra Horn,2019,Democrat
Kim Schrier,2019,Democrat
Kurt Schrader,2009,Democrat
Kyrsten Sinema,2013,Democrat
Lauren A Underwood,2019,Democrat
Lisa Blunt Rochester,2017,Democrat
Lizzie Fletcher,2019,Democrat
Lloyd Doggett,1995,Democrat
Lois Capps,1998,Democrat
Lois J Frankel,2013,Democrat
Lois J. Frankel,2013,Democrat
Loretta Sanchez,1997,Democrat
Lori Trahan,2019,Democrat
Louise M Slaughter,1987,Democrat
Louise M. Slaughter,1987,Democrat
Lucille Roybal-Allard,1993,Democrat
Lucy McBath,2019,Democrat
Madeleine Dean,2019,Democrat
Marc Veasey,2013,Democrat
Marcia L Fudge,2008,Democrat
Marcia L. Fudge,2008,Democrat
Marcy Kaptur,1983,Democrat
Mark A Takano,2013,Democrat
Mark Desaulnier,2015,Democrat
Mark Pocan,2013,Democrat
Mark Takai,2015,Democrat
Mark Takano,2013,Democrat
Mary Gay Scanlon,2018,Democrat
Matt Cartwright,2013,Democrat
Max Rose,2019,Democrat
Maxine Waters,1991,Democrat
Michael E Capuano,1999,Democrat
Michael E. Capuano,1999,Democrat
Michelle Lujan Grisham,2013,Democrat
Mike Levin,2019,Democrat
Mike Quigley,2009,Democrat
Mike Thompson,1999,Democrat
Mikie Sherrill,2019,Democrat
Nancy Pelosi,1987,Democrat
Niki Tsongas,2007,Democrat
Nita M Lowey,1989,Democrat
Nita M. Lowey,1989,Democrat
Norma Torres,2015,Democrat
Patrick E. Murphy,2013,Democrat
Paul Tonko,2009,Democrat
Pete Aguilar,2015,Democrat
Pete Visclosky,1985,Democrat
Peter DeFazio,1987,Democrat
Peter Welch,2007,Democrat
Pramila Jayapal,2017,Democrat
Raja Krishnamoorthi,2017,Democrat
Rashida Tlaib,2019,Democrat
Raul Ruiz,2013,Democrat
Richard E Neal,1989,Democrat
Richard E. Neal,1989,Democrat
Rick Larsen,2001,Democrat
Ro Khanna,2017,Democrat
Robert A. Brady,1998,Democrat
Robin Kelly,2013,Democrat
Ron Kind,1997,Democrat
Rosa L DeLauro,1991,Democrat
Rosa L. DeLauro,1991,Democrat
Ruben Gallego,2015,Democrat
Ruben Kihuen,2017,Democrat
Salud Carbajal,2017,Democrat
Sam Farr,1993,Democrat
Sander Levin,1983,Democrat
Sanford Bishop,1993,Democrat
Scott Peters,2013,Democrat
Sean Casten,2019,Democrat
Sean Patrick Maloney,2013,Democrat
Seth Moulton,2015,Democrat
Sharice Davids,2019,Democrat
Sheila Jackson Lee,1995,Democrat
Steny H Hoyer,1981,Democrat
Steny H. Hoyer,1981,Democrat
Stephanie Murphy,2017,Democrat
Stephen F Lynch,2001,Democrat
Stephen F. Lynch,2001,Democrat
Steve Cohen,2007,Democrat
Steve Israel,2001,Democrat
Steven Horsford,2019,Democrat
Susan A Davis,2001,Democrat
Susan A. Davis,2001,Democrat
Susan Wild,2018,Democrat
Susie Lee,2019,Democrat
Suzan DelBene,2012,Democrat
Suzanne Bonamici,2012,Democrat
Sylvia Garcia,2019,Democrat
Tammy Duckworth,2013,Democrat
Ted Lieu,2015,Democrat
Terri A Sewell,2011,Democrat
Terri A. Sewell,2011,Democrat
Tim Ryan,2003,Democrat
Tim Walz,2007,Democrat
Timothy J. Walz,2007,Democrat
TJ Cox,2019,Democrat
Tom Malinowski,2019,Democrat
Tulsi Gabbard,2013,Democrat
Val Demings,2017,Democrat
Veronica Escobar,2019,Democrat
Vicente Gonzalez,2017,Democrat
William L Clay Jr.,2001,Democrat
Xavier Becerra,1993,Democrat
Xochitl Torres Small,2019,Democrat
Yvette D Clarke,2007,Democrat
Yvette D. Clarke,2007,Democrat
Zoe Lofgren,1995,Democrat
