district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
AL01,2016,696783,48.4,51.6,6.1,6.4,7.0,6.4,6.4,12.3,12.2,13.7,7.1,6.2,9.5,4.8,1.9,39.5,76.6,72.9,19.9,16.2,47.7,52.3,43.7,56.3,65.3,27.8,0.7,1.4,0.0,0.1,3.1,328532
AL02,2016,678622,48.8,51.2,6.1,6.4,6.6,6.6,7.6,12.8,12.6,13.0,6.8,5.9,8.9,5.0,1.6,38.0,76.9,72.9,18.6,15.5,47.7,52.3,43.5,56.5,63.3,30.6,0.5,1.1,0.0,0.1,3.2,309169
AL03,2016,706574,49.0,51.0,5.8,5.8,6.7,7.5,8.0,12.3,13.3,13.0,6.4,6.3,9.0,4.4,1.6,38.0,77.6,72.6,18.4,15.0,48.0,52.0,43.4,56.6,67.7,25.9,0.3,1.4,0.1,0.1,3.0,324122
AL04,2016,683372,49.1,50.9,5.8,6.3,6.9,6.6,6.1,11.3,12.6,13.9,7.0,6.3,10.0,5.3,1.8,40.9,76.8,73.0,21.1,17.2,48.3,51.7,44.3,55.7,84.0,6.8,0.7,0.5,0.0,0.1,6.0,311200
AL05,2016,706373,48.6,51.4,5.7,6.2,6.8,6.3,6.9,13.0,12.3,14.8,6.8,6.2,8.6,4.8,1.6,39.4,77.5,73.6,18.4,15.0,48.3,51.7,43.1,56.9,73.1,17.1,0.5,1.4,0.1,0.1,5.0,310432
AL06,2016,696788,48.7,51.3,6.0,6.7,6.6,6.3,5.6,13.3,13.7,13.4,7.1,6.1,9.0,4.7,1.7,39.3,76.8,73.2,18.8,15.3,48.0,52.0,43.5,56.5,77.2,14.4,0.2,1.9,0.0,0.1,4.9,298431
AL07,2016,680865,46.4,53.6,6.5,6.2,5.7,7.9,9.4,14.0,11.7,12.2,6.8,6.0,7.7,4.1,1.8,35.2,77.8,71.4,17.1,13.5,45.4,54.6,40.0,60.0,31.5,63.7,0.1,0.6,0.0,0.3,2.6,326144
AK01,2016,736732,52.3,47.7,7.2,7.2,6.9,6.9,8.6,15.4,12.6,13.1,6.9,5.6,6.3,2.4,0.8,33.3,74.6,70.2,12.6,9.5,52.9,47.1,49.1,50.9,61.8,3.2,13.7,5.9,1.1,0.2,6.7,308571
AZ01,2016,739373,50.3,49.7,6.7,7.1,7.0,7.5,7.4,11.9,11.9,11.7,6.4,6.2,10.2,4.8,1.4,37.0,75.2,69.9,19.9,16.3,50.2,49.8,47.7,52.3,49.7,2.3,22.6,1.4,0.2,0.1,21.8,331747
AZ02,2016,713036,49.7,50.3,5.8,5.6,5.7,5.8,7.9,12.4,11.3,12.3,6.6,6.9,11.0,6.1,2.5,40.9,79.3,75.5,23.6,19.6,49.2,50.8,45.2,54.8,61.9,3.3,1.1,3.0,0.2,0.1,27.6,345434
AZ03,2016,757119,50.2,49.8,7.0,7.7,8.2,8.9,9.6,14.0,12.7,11.5,5.4,4.4,6.5,3.5,0.7,31.0,72.5,66.2,13.3,10.7,49.8,50.2,45.6,54.4,28.1,4.1,2.9,1.5,0.1,0.1,61.6,269999
AZ04,2016,734258,50.6,49.4,5.1,5.4,6.0,5.5,5.1,10.4,10.5,11.3,7.1,7.5,15.2,8.5,2.4,47.2,80.0,76.8,30.6,26.1,50.3,49.7,48.8,51.2,75.3,1.7,1.7,1.4,0.1,0.0,18.0,384567
AZ05,2016,781441,49.0,51.0,7.3,7.8,8.2,6.8,5.4,12.0,13.4,13.1,5.7,4.8,8.6,4.7,2.1,36.5,72.1,68.6,18.3,15.5,47.9,52.1,44.1,55.9,70.8,2.6,1.0,4.5,0.3,0.0,18.6,310218
AZ06,2016,737185,48.5,51.5,5.7,5.5,5.8,5.6,5.5,13.9,13.3,14.6,7.1,6.4,10.1,4.6,2.0,41.4,79.3,76.3,20.5,16.7,48.0,52.0,45.0,55.0,73.4,2.2,1.3,5.0,0.1,0.2,15.9,350948
AZ07,2016,763089,49.9,50.1,9.3,9.5,8.4,7.7,8.7,15.9,13.4,11.6,4.8,3.7,4.5,1.8,0.7,28.8,68.2,63.3,9.1,7.0,49.5,50.5,44.3,55.7,20.2,8.9,2.0,2.8,0.4,0.1,64.0,261283
AZ08,2016,760904,47.1,52.9,5.5,6.0,6.7,6.3,5.2,11.7,12.6,12.9,6.2,6.5,11.1,6.6,2.7,42.0,77.8,74.4,24.3,20.3,46.3,53.7,45.3,54.7,69.4,5.0,0.6,3.4,0.1,0.1,19.1,326564
AZ09,2016,745079,51.7,48.3,5.4,6.2,5.3,7.0,10.5,17.4,13.0,12.9,5.8,5.0,6.4,3.5,1.6,33.6,79.3,73.7,14.4,11.5,51.9,48.1,45.3,54.7,57.2,5.3,2.6,4.5,0.1,0.3,27.2,328576
AR01,2016,723492,49.2,50.8,6.3,6.8,6.2,6.7,6.5,11.9,12.7,12.9,6.3,6.4,10.0,5.4,2.0,39.6,76.8,72.6,21.3,17.4,48.7,51.3,44.9,55.1,76.5,18.2,0.3,0.3,0.2,0.0,3.1,338438
AR02,2016,756326,48.4,51.6,6.6,6.8,6.4,6.5,7.4,14.1,12.9,12.8,6.4,5.9,8.3,4.1,1.8,36.6,76.3,72.2,17.6,14.2,47.8,52.2,43.5,56.5,69.0,22.2,0.2,1.4,0.0,0.1,5.1,335178
AR03,2016,767904,49.4,50.6,6.6,7.1,7.2,7.1,7.8,13.6,12.9,12.7,6.2,5.2,7.9,4.1,1.6,35.4,75.0,70.2,16.6,13.6,49.0,51.0,44.2,55.8,76.1,3.0,1.1,2.6,0.7,0.1,13.8,324420
AR04,2016,718647,49.4,50.6,6.2,6.2,6.6,7.2,6.4,11.2,12.0,13.0,7.1,6.4,10.2,5.4,2.1,40.0,76.9,72.6,21.6,17.8,48.4,51.6,44.9,55.1,71.9,19.9,0.5,0.6,0.0,0.2,5.5,343045
CA01,2016,710428,50.2,49.8,5.1,5.6,5.6,6.2,7.7,12.0,10.3,12.7,7.2,7.9,11.3,5.5,2.8,42.6,80.1,75.8,24.4,19.6,50.0,50.0,46.4,53.6,77.1,1.4,1.3,2.5,0.1,0.1,13.4,324834
CA02,2016,720049,49.7,50.3,5.0,6.3,5.4,5.7,5.9,11.4,12.2,14.3,7.6,8.1,11.0,4.6,2.4,43.4,79.9,76.5,22.7,18.0,49.5,50.5,44.6,55.4,70.8,1.5,1.6,3.9,0.2,0.7,17.9,320423
CA03,2016,720104,49.9,50.1,5.9,7.0,6.3,8.0,8.8,13.8,11.9,13.5,6.0,5.9,7.5,3.9,1.5,35.2,76.6,70.8,16.4,12.9,49.8,50.2,44.7,55.3,48.8,5.8,0.6,11.1,0.6,0.1,29.0,264765
CA04,2016,719688,50.1,49.9,4.8,6.1,6.1,6.6,5.1,10.6,11.9,14.5,7.6,7.5,11.4,5.8,2.0,44.1,78.8,75.0,23.9,19.1,49.4,50.6,47.1,52.9,76.8,1.2,0.8,5.0,0.3,0.0,12.8,353558
CA05,2016,722814,48.3,51.7,5.9,5.8,6.3,6.2,7.0,13.5,12.1,13.4,6.9,7.0,9.5,4.2,2.2,39.5,78.2,74.3,19.8,15.9,47.6,52.4,43.7,56.3,50.1,6.3,0.4,11.1,0.2,0.1,27.6,287407
CA06,2016,737671,48.9,51.1,7.4,7.3,6.8,6.4,7.9,16.6,13.3,12.2,5.5,5.3,6.5,3.4,1.4,33.5,74.8,70.6,14.3,11.3,47.9,52.1,42.9,57.1,36.1,12.6,0.3,15.5,1.6,0.6,29.0,286820
CA07,2016,736555,48.8,51.2,6.3,6.8,6.7,6.2,6.3,13.9,12.7,14.2,6.9,5.9,7.9,4.3,1.9,37.9,76.1,72.8,17.7,14.1,48.2,51.8,42.9,57.1,56.0,6.9,0.4,14.8,0.6,0.4,16.5,274333
CA08,2016,715953,49.5,50.5,8.0,7.4,7.5,7.4,7.9,12.9,11.8,12.5,6.0,5.9,7.7,3.8,1.3,34.2,72.4,67.8,16.2,12.8,49.4,50.6,47.1,52.9,45.5,7.5,0.9,3.4,0.2,0.3,39.4,308186
CA09,2016,738320,49.7,50.3,6.7,7.5,8.1,8.0,7.2,12.7,12.6,13.5,6.2,5.2,7.1,3.7,1.6,34.8,72.7,68.1,15.4,12.3,48.9,51.1,43.9,56.1,35.4,9.3,0.2,13.7,0.7,0.2,37.1,246207
CA10,2016,732084,49.5,50.5,7.3,7.8,7.7,7.7,7.3,13.8,13.2,12.9,6.0,4.8,6.6,3.4,1.4,33.7,72.5,68.1,14.2,11.4,49.0,51.0,44.8,55.2,43.8,2.4,0.5,7.1,0.5,0.3,42.3,243718
CA11,2016,739693,48.6,51.4,5.8,6.4,6.2,6.0,6.2,12.9,13.5,14.2,7.3,6.3,8.7,4.2,2.2,39.5,77.9,74.4,18.9,15.1,48.2,51.8,43.8,56.2,47.3,7.5,0.2,13.0,0.4,0.4,26.7,281591
CA12,2016,736123,51.1,48.9,4.5,3.4,3.1,3.3,5.7,23.4,16.6,13.6,5.9,6.0,7.6,4.7,2.2,38.6,87.1,84.9,18.3,14.5,51.3,48.7,45.0,55.0,43.3,5.1,0.2,31.7,0.4,0.7,14.8,350084
CA13,2016,743310,48.1,51.9,5.8,5.4,5.1,6.1,8.6,17.0,14.6,13.0,5.9,6.0,7.3,3.4,1.8,36.2,80.5,76.1,16.2,12.5,47.8,52.2,44.0,56.0,35.2,16.9,0.5,19.2,0.7,0.4,22.4,300263
CA14,2016,753002,49.2,50.8,5.8,6.2,5.2,5.4,6.1,14.9,14.6,14.5,6.7,6.2,8.1,4.5,1.8,39.1,79.7,76.3,18.1,14.5,48.7,51.3,43.2,56.8,34.8,3.2,0.1,32.6,1.3,0.2,24.2,265184
CA15,2016,753911,49.8,50.2,6.4,7.1,6.6,6.0,5.2,14.2,15.0,15.0,6.7,5.3,7.2,3.6,1.7,37.9,76.1,73.1,15.5,12.5,48.9,51.1,43.9,56.1,33.0,6.4,0.2,32.5,0.9,0.2,22.8,254808
CA16,2016,718849,49.8,50.2,8.6,8.8,8.0,8.3,8.5,14.4,12.5,11.5,5.1,4.2,5.9,2.9,1.4,30.0,69.8,64.4,12.4,10.2,49.3,50.7,47.0,53.0,24.0,5.6,0.3,8.7,0.1,0.3,59.1,226066
CA17,2016,756995,49.9,50.1,7.1,6.4,6.2,5.2,5.3,17.6,16.4,13.6,5.9,4.7,6.5,3.5,1.4,36.3,76.9,74.1,14.1,11.5,49.9,50.1,44.0,56.0,25.4,2.6,0.2,52.0,0.4,0.2,16.1,260541
CA18,2016,734378,50.2,49.8,5.8,6.6,6.5,5.9,5.1,13.1,14.3,15.5,7.0,5.8,7.8,4.6,2.1,40.3,77.4,74.2,17.6,14.4,49.9,50.1,43.5,56.5,54.6,2.2,0.1,22.3,0.3,0.3,16.7,285121
CA19,2016,746211,50.4,49.6,6.3,6.5,6.8,6.5,7.6,14.4,14.3,14.4,6.2,5.3,6.8,3.5,1.4,36.2,76.7,72.6,14.7,11.7,50.1,49.9,44.9,55.1,25.5,2.6,0.1,27.0,0.3,0.2,41.6,229697
CA20,2016,732074,50.5,49.5,7.1,6.7,7.1,7.5,8.9,14.0,12.5,12.6,6.1,5.8,6.8,3.4,1.6,34.1,75.3,69.3,15.0,11.8,50.0,50.0,44.0,56.0,37.4,1.8,0.3,5.2,0.3,0.2,52.4,247741
CA21,2016,712295,52.5,47.5,8.3,9.2,8.7,8.0,8.7,16.0,12.6,11.9,5.1,3.6,4.6,2.4,0.8,29.3,69.0,63.8,9.9,7.9,53.9,46.1,46.2,53.8,17.2,3.3,0.4,3.3,0.1,0.2,73.9,195325
CA22,2016,739418,49.7,50.3,8.1,8.1,7.8,7.8,7.9,14.0,12.1,12.0,5.7,5.0,6.7,3.2,1.7,32.4,71.2,66.6,14.3,11.6,48.6,51.4,43.0,57.0,39.4,3.2,0.4,7.9,0.1,0.3,46.7,251110
CA23,2016,747914,50.2,49.8,8.3,7.8,7.4,7.4,7.2,14.6,12.5,12.3,5.7,5.2,6.6,3.6,1.4,32.9,71.8,67.4,14.5,11.6,50.0,50.0,44.6,55.4,46.5,7.0,0.7,4.7,0.1,0.2,38.0,270707
CA24,2016,726519,50.2,49.8,5.9,5.6,5.7,8.5,10.9,12.7,11.1,11.9,6.6,5.9,8.4,4.7,2.2,35.6,79.3,71.3,18.7,15.3,49.9,50.1,45.0,55.0,55.1,1.7,0.3,4.4,0.1,0.1,35.6,277637
CA25,2016,718796,48.7,51.3,6.4,7.4,8.3,8.0,6.5,12.5,13.5,15.0,7.1,4.8,6.5,2.9,1.1,35.7,72.6,68.3,13.3,10.5,48.3,51.7,45.1,54.9,42.1,8.0,0.2,8.5,0.2,0.2,37.5,235325
