state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts
AL01,2014,POWE SHARON L,Republican Party,Open,5450.0,5450.0,0.0,0.0,4931.0,519.0,0.0
AL01,2014,YOUNG LARRY DEAN JR,Republican Party,Open,284899.73,109700.54,0.0,174500.0,287647.43,-2747.7,0.0
AL01,2014,BYRNE BRADLEY ROBERTS,Republican Party,Incumbent,1608906.25,806016.11,796150.99,0.0,1386147.18,222759.07,5125.0
AL01,2014,FINCHER CHAD,Republican Party,Challenger,214019.18,144870.62,14500.0,50000.0,210465.04,3554.14,39500.0
AL01,2014,GRIFFITH PRESTON WELLS III,Republican Party,Challenger,209780.99,196780.99,13000.0,0.0,210123.7,257.29,0.0
AL01,2014,HILLYER RICHARD QUIN EDMONSON,Republican Party,Challenger,293970.59,227536.97,34237.86,30830.12,290806.95,3163.64,4200.0
AL01,2014,JAMES JESSICA,Republican Party,Challenger,10113.0,10113.0,0.0,0.0,10113.0,0.0,0.0
AL01,2014,LEFLORE BURTON R,Democratic Party,Challenger,29073.0,29073.0,0.0,4932.0,30494.0,185.0,3295.0
AL01,2014,RAILEY CURTIS MONROE,Other,Challenger,0.0,0.0,0.0,0.0,1150.74,1217.83,10000.0
AL02,2014,ROBY MARTHA,Republican Party,Incumbent,890230.44,387968.64,497853.67,0.0,512543.72,564183.07,0.0
AL02,2014,WRIGHT ERICK,Other,Challenger,2909.0,2909.0,0.0,0.0,6608.0,77.0,0.0
AL03,2014,ROGERS MICHAEL,Republican Party,Incumbent,796519.39,329851.67,458240.0,0.0,653703.22,434864.46,0.0
AL03,2014,CASSON THOMAS,Republican Party,Challenger,16355.0,15355.0,0.0,1000.0,16355.0,0.0,0.0
AL04,2014,ADERHOLT ROBERT B. REP.,Republican Party,Incumbent,891358.59,336820.05,553128.84,0.0,690607.59,353632.82,0.0
AL04,2014,NORRIS PHILLIP DWIGHT,Republican Party,Challenger,255.0,225.0,0.0,0.0,255.0,0.0,0.0
AL05,2014,BROOKS MO,Republican Party,Incumbent,499533.19,288233.19,209300.0,0.0,137212.53,861979.25,0.0
AL05,2014,BRAY MARK,Other,Challenger,12116.38,8904.93,0.0,209.55,9476.62,2639.76,5956.0
AL05,2014,HILL JERRY WAYNE,Republican Party,Challenger,25000.0,0.0,0.0,25000.0,23900.0,1000.0,25000.0
AL06,2014,BEASON JASON SCOTT,Republican Party,Open,48130.0,39650.0,5000.0,3480.0,47713.18,2290.67,3480.0
AL06,2014,BROOKE WILLIAM W,Republican Party,Open,1397989.14,614489.14,30900.0,752600.0,1393949.98,4039.16,750000.0
AL06,2014,DEMARCO PAUL,Republican Party,Open,1722103.62,1525783.04,176050.0,2140.83,1486483.05,235620.57,10930.23
AL06,2014,MATHIS CHAD DR,Republican Party,Open,747094.78,508906.19,90700.0,147195.12,743419.66,3675.12,118500.0
AL06,2014,PALMER GARY,Republican Party,Open,1086567.41,1033367.26,53200.0,0.0,905775.64,180791.77,0.0
AL06,2014,VIGNEULLE THOMAS RAY SR,Republican Party,Open,67729.0,47229.0,2000.0,18500.0,65810.52,1918.48,0.0
AL07,2014,SEWELL TERRI A.,Democratic Party,Incumbent,1261396.32,401717.58,859167.44,0.0,1148283.23,490726.96,0.0
AL07,2014,JOHNSON TAMARA HARRIS,Democratic Party,Challenger,21248.0,17488.0,0.0,3760.0,21229.52,18.48,3760.0
AL07,2014,MACK STANLEY ALLEN,Republican Party,Challenger,8.5,0.0,0.0,0.0,0.0,0.0,0.0
AK01,2014,YOUNG DONALD E,Republican Party,Incumbent,617386.49,363509.02,218528.14,0.0,535873.85,589812.1,0.0
AK01,2014,COX JOHN R.,Republican Party,Challenger,0.0,0.0,0.0,0.0,191.0,4299.0,0.0
AK01,2014,DUNBAR FORREST,Democratic Party,Challenger,79241.23,79241.23,0.0,0.0,48637.66,30603.57,6000.0
AK01,2014,MOORE MATTHEW EDWARD,Democratic Party,Challenger,60679.5,19521.5,0.0,12000.0,60679.5,0.0,40123.62
AK01,2014,VONDERSAAR FRANK J,Democratic Party,Challenger,500.0,0.0,0.0,500.0,400.0,100.0,500.0
AZ01,2014,KIRKPATRICK ANN,Democratic Party,Incumbent,1933216.26,1206000.36,689150.0,0.0,642134.87,1298839.25,9020.32
