state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts,district,election_year,total_pop,male_pop_percent,female_pop_percent,under_five_percent,five_to_nine_percent,ten_to_fourteen_percent,fifteen_nineteen_percent,twenty_to_twentyfour_percent,twentyfive_to_thirtyfour_percent,thirtyfive_to_fortyfour_percent,fortyfive_to_fiftyfour_percent,fiftyfive_to_fiftynine_percent,sixty_to_sixtyfour_percent,sixtyfive_to_seventyfour_percent,seventyfive_to_eightyfour_percent,over_eightyfive_percent,median_age,eighteen_and_over_percent,twentyone_and_over_percent,sixtytwo_and_over_percent,sixtyfive_and_over_percent,eighteen_and_over_male_percent,eighteen_and_over_female_percent,sixtyfive_and_over_male_percent,sixtyfive_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units,last_name,first_name,prefix,first_last_name,district_from_length,candidate_name,spent,won,lost,incumbent,challenger,open_seat,election_year_from_length,party_from_length,year,Last_name,firstlast_name
IL06,2014,ROSKAM PETER,Republican Party,Incumbent,2643875.43,1137871.17,1443315.73,0,2543254.32,1143860.44,15607.71,IL06,2014,727718,49.2,50.8,5.9,6.2,7.5,7.8,5.4,11.1,12.8,16.4,7.7,6.2,7.6,3.5,1.8,40.1,75.2,71.5,16.5,13,48.7,51.3,44.4,55.6,77.5,2.1,0,8.9,0,0.1,10,270685,Roskam,Peter,,Peter Roskam,IL06,Peter Roskam,"$4,079,869 ",1,0,1,0,0,2014,Republican,2007,Roskam,Peter Roskam
TX05,2014,HENSARLING JEB HON.,Republican Party,Incumbent,2673006.24,1384157.24,1234898,0,3084464.9,1472329.77,0,TX05,2014,726896,50.4,49.6,6.8,8,7,6.8,7,13.2,13.8,13.2,6.2,5,7.7,3.6,1.6,35.8,73.9,69.7,15.9,12.9,49.9,50.1,43.1,56.9,54,14.3,0.4,1.8,0.1,0.1,27.9,286382,Hensarling,Jeb,Hon.,Jeb Hensarling,TX05,Jeb Hensarling,"$3,408,251 ",1,0,1,0,0,2014,Republican,2003,Hensarling,Jeb Hensarling
LA01,2014,SCALISE STEVE MR.,Republican Party,Incumbent,1425973.57,567158.5,854339.38,0,1168222.75,858641.66,0,LA01,2014,781134,48.6,51.4,6.1,6.8,6.3,6.4,6.7,14.1,12.1,14.1,7.1,5.9,8.6,4.4,1.6,37.9,77.1,73.2,17.7,14.5,48,52,44.3,55.7,74.1,12.5,1.1,2,0,0.2,8.8,330578,Scalise,Steve,Mr.,Steve Scalise,LA01,Steve Scalise,"$2,735,431 ",1,0,1,0,0,2014,Republican,2008,Scalise,Steve Scalise
NY14,2014,CROWLEY JOSEPH,Democratic Party,Incumbent,2522320.53,623251.17,1286586.77,0,1946781.49,1364191.18,0,NY14,2014,727544,51.3,48.7,6.3,5.5,5.4,5.2,7.6,18.6,14.7,13.8,5.6,4.9,6.6,4,1.8,35.7,79.7,76.2,15.1,12.3,50.9,49.1,40.1,59.9,22.8,9.7,0,16,0,0.4,49.8,262554,Crowley,Joseph,,Joseph Crowley,NY14,Joseph Crowley,"$2,668,960 ",1,0,1,0,0,2014,Democrat,1999,Crowley,Joseph Crowley
TX08,2014,BRADY KEVIN,Republican Party,Incumbent,2018388.2,439001.78,1223160.02,0,1010201.52,1325444.21,0,TX08,2014,761764,51,49,6.8,7.4,7.6,7.2,6.3,12.8,13.9,13.8,6.4,5.6,7.6,3.6,1.1,36.1,73.8,69.6,15.6,12.3,51,49,45.9,54.1,65.5,8.4,0.1,2.2,0,0,22.4,290582,Brady,Kevin,,Kevin Brady,TX08,Kevin Brady,"$2,184,911 ",1,0,1,0,0,2014,Republican,1997,Brady,Kevin Brady
SC06,2014,CLYBURN JAMES E.,Democratic Party,Incumbent,1728269.63,329211.1,1394189.18,0,1497641.59,1463938.05,4559,SC06,2014,678025,48.8,51.2,6.6,6.4,5.9,7.5,10.5,13.5,10.9,12.8,6.5,6,8,3.8,1.6,34.6,77.6,71.2,16.8,13.5,48.2,51.8,42.8,57.2,35.3,57.3,0.2,0.9,0.1,0,4.4,293018,Clyburn,James,E.,James Clyburn,SC06,James E. Clyburn,"$2,184,698 ",1,0,1,0,0,2014,Democrat,1993,Clyburn,James Clyburn
MA05,2014,CLARK KATHERINE,Democratic Party,Incumbent,2013073.74,1462376.55,298939.31,250000,1539510.48,473563.26,250000,MA05,2014,754065,48.2,51.8,5.9,5.4,5.6,6.2,7.1,15.8,13.5,14.5,6.9,4.9,7.6,4.2,2.4,38,79.8,75.4,17,14.2,47.5,52.5,41.4,58.6,74.4,4.4,0.1,9.7,0,0.4,8.8,301653,Clark,Katherine,,Katherine Clark,MA05,Katherine Clark,"$1,943,088 ",1,0,1,0,0,2014,Democrat,2013,Clark,Katherine Clark
CA05,2014,THOMPSON MIKE MR.,Democratic Party,Incumbent,1423649.7,482796.64,917901.61,0,1083904.04,1656776.01,9562.42,CA05,2014,715332,48.9,51.1,5.6,5.4,6.1,6.4,7.1,13.4,12.2,14.4,7.4,6.7,8.9,4.1,2.3,40.2,79,75.1,19.2,15.3,48.3,51.7,43.7,56.3,52.3,5.7,0.6,10.3,0.4,0.1,27,284588,Thompson,Mike,Mr.,Mike Thompson,CA05,Mike Thompson,"$1,712,297 ",1,0,1,0,0,2014,Democrat,1999,Thompson,Mike Thompson
TX13,2014,THORNBERRY MAC,Republican Party,Incumbent,1250533.94,726498.6,520004.86,0,1290583.94,421550.31,0,TX13,2014,700874,50.7,49.3,6.9,7.4,6.8,7.3,7,13.6,12.1,12.6,6.8,5.2,7.8,4.7,1.7,35.7,74.8,70.3,17.2,14.3,50.4,49.6,44.1,55.9,65,5.3,0.4,1.8,0.1,0,25.6,302878,Thornberry,Mac,,Mac Thornberry,TX13,Mac Thornberry,"$1,693,676 ",1,0,1,0,0,2014,Republican,1995,Thornberry,Mac Thornberry
TX21,2014,SMITH LAMAR,Republican Party,Incumbent,1171015.43,543086,621379.13,0,1166601.3,880972.81,0,TX21,2014,743443,48.6,51.4,5.4,5.2,6,6.6,7.9,15.9,12.3,13.6,6.3,6.3,8.3,4.1,2.1,37.9,79.7,75,18,14.5,48.2,51.8,45.1,54.9,64.8,3.4,0.1,2.9,0.1,0,26.9,339840,Smith,Lamar,,Lamar Smith,TX21,Lamar Smith,"$1,567,732 ",1,0,1,0,0,2014,Republican,1987,Smith,Lamar Smith
