District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
IL06,Peter Roskam,"$4,079,869 ",Michael Mason,$0 ,More than 10:1
TX05,Jeb Hensarling,"$3,408,251 ",Ken Ashby,$0 ,More than 10:1
LA01,Steve Scalise,"$2,735,431 ",Lee A. Dugas,$0 ,More than 10:1
NY14,Joseph Crowley,"$2,668,960 ",Elizabeth Perri,$0 ,More than 10:1
MA08,Stephen F. Lynch,"$2,542,068 ",Unopposed,$0 ,More than 10:1
TX08,Kevin Brady,"$2,184,911 ",Ken Petty,$0 ,More than 10:1
SC06,James E. Clyburn,"$2,184,698 ",Kevin Robert Umbaugh,$0 ,More than 10:1
LA03,Charles W. Boustany Jr,"$2,118,901 ",Richard Russell,$0 ,More than 10:1
MA05,Katherine Clark,"$1,943,088 ",Bill Wilt,$0 ,More than 10:1
CA05,Mike Thompson,"$1,712,297 ",James Hinton,$0 ,More than 10:1
TX13,Mac Thornberry,"$1,693,676 ",Emily Pivoda,$0 ,More than 10:1
TX21,Lamar Smith,"$1,567,732 ",David Cunningham,$0 ,More than 10:1
TX11,Mike Conaway,"$1,559,656 ",Ryan Lange,$0 ,More than 10:1
VA06,Bob Goodlatte,"$1,554,911 ",Elaine B. Hildebrandt,$0 ,More than 10:1
AL07,Terri A. Sewell,"$1,468,012 ",Unopposed,$0 ,More than 10:1
CA34,Xavier Becerra,"$1,465,622 ",Adrienne Edwards,$0 ,More than 10:1
KY01,Ed Whitfield,"$1,447,565 ",Charles Hatchett,$0 ,More than 10:1
TN07,Marsha Blackburn,"$1,444,428 ",Daniel Nelson Cramer,$0 ,More than 10:1
IL09,Jan Schakowsky,"$1,327,080 ",Susanne Atanus,$0 ,More than 10:1
SC01,Mark Sanford,"$1,317,224 ",Dimitri Cherny,$0 ,More than 10:1
NY10,Jerrold Nadler,"$1,276,209 ",Michael J. Dilger,$0 ,More than 10:1
TX03,Sam Johnson,"$1,261,811 ",Paul Blair,$0 ,More than 10:1
TX22,Pete Olson,"$1,259,370 ",Rob Lapham,$0 ,More than 10:1
OK03,Frank D. Lucas,"$1,253,709 ",Frankie Robbins,$0 ,More than 10:1
MA01,Richard E. Neal,"$1,241,116 ",Frederick Mayock,$0 ,More than 10:1
TX33,Marc Veasey,"$1,224,552 ",Jason Reeves,$0 ,More than 10:1
PA18,Tim Murphy,"$1,156,372 ",Unopposed,$0 ,More than 10:1
TX20,Joaquin Castro,"$1,147,967 ",Michael Idrogo,$0 ,More than 10:1
OK04,Tom Cole,"$1,147,516 ",Dennis B. Johnson,$0 ,More than 10:1
GA13,David Scott,"$1,146,654 ",Unopposed,$0 ,More than 10:1
MS02,Bennie G. Thompson,"$1,138,673 ",Shelley Shoemake,$0 ,More than 10:1
PA11,Lou Barletta,"$1,101,031 ",Andrew J. Ostrowski,$0 ,More than 10:1
TX26,Michael Burgess,"$1,068,922 ",Matthew Wiegmann,$0 ,More than 10:1
PA15,Charlie Dent,"$1,059,972 ",Unopposed,$0 ,More than 10:1
GA03,Lynn A. Westmoreland,"$1,037,842 ",Unopposed,$0 ,More than 10:1
NY16,Eliot L. Engel,"$1,015,031 ",Unopposed,$0 ,More than 10:1
FL21,Ted Deutch,"$1,006,801 ","W. Michael ""Mike"" Trout",$0 ,More than 10:1
TN02,John J. Duncan Jr,"$992,996 ",Casey Gouge,$0 ,More than 10:1
SC02,Joe Wilson,"$964,753 ",Harold Geddings III,$0 ,More than 10:1
OK02,Markwayne Mullin,"$955,584 ",Jon Douthitt,$0 ,More than 10:1
CA29,Tony Cardenas,"$953,305 ",William Leader,$0 ,More than 10:1
NC09,Robert Pittenger,"$952,894 ",Shawn Eckles,$0 ,More than 10:1
MI05,Dan Kildee,"$938,757 ",Harold H. Jones,$0 ,More than 10:1
TX28,Henry Cuellar,"$937,077 ",William Aikens,$0 ,More than 10:1
OH10,Michael R. Turner,"$931,475 ",Robert Klepinger,$0 ,More than 10:1
AL04,Robert B. Aderholt,"$909,880 ",Unopposed,$0 ,More than 10:1
VA09,Morgan Griffith,"$889,987 ",William R. Carr,$0 ,More than 10:1
NY05,Gregory W. Meeks,"$882,334 ",Allen Frank Steinhardt,$0 ,More than 10:1
NY22,Richard Hanna,"$877,661 ",Unopposed,$0 ,More than 10:1
PA14,Mike Doyle,"$861,701 ",Unopposed,$0 ,More than 10:1
HI02,Tulsi Gabbard,"$857,985 ",Joe Kent,$0 ,More than 10:1
MA02,James P. McGovern,"$855,086 ",Unopposed,$0 ,More than 10:1
FL27,Ileana Ros-Lehtinen,"$850,120 ",Unopposed,$0 ,More than 10:1
MI13,John Conyers Jr,"$833,998 ",Sam Johnson,$0 ,More than 10:1
TX17,Bill Flores,"$809,522 ",Shawn Michael Hamilton,$0 ,More than 10:1
LA04,John Fleming,"$803,077 ",Justin Ansley,$0 ,More than 10:1
CA51,Juan Vargas,"$801,518 ",Stephen Meade,$0 ,More than 10:1
GA08,Austin Scott,"$800,954 ",Ronald L Cain,$0 ,More than 10:1
MO03,Blaine Luetkemeyer,"$800,888 ",Courtney Denton,$0 ,More than 10:1
MI10,Candice S. Miller,"$795,742 ",Chuck Stadler,$0 ,More than 10:1
MD07,Elijah E. Cummings,"$787,933 ",Michael Pearson,$0 ,More than 10:1
OH13,Tim Ryan,"$787,870 ",David Allen Pastorius,$0 ,More than 10:1
MS03,Gregg Harper,"$770,335 ",Doug Magee,$0 ,More than 10:1
GA05,John Lewis,"$745,565 ",Unopposed,$0 ,More than 10:1
GA14,Tom Graves,"$736,722 ",Unopposed,$0 ,More than 10:1
CA44,Janice Hahn,"$723,717 ",Adam Shbeita,$0 ,More than 10:1
FL12,Gus Bilirakis,"$700,433 ",Unopposed,$0 ,More than 10:1
NC04,David Price,"$688,800 ",Paul Wright,$0 ,More than 10:1
TX29,Gene Green,"$687,925 ",James Stanczak,$0 ,More than 10:1
CA19,Zoe Lofgren,"$682,507 ",Robert Murray,$0 ,More than 10:1
