District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
TX08,Kevin Brady,"$3,998,822 ",Todd Carlton,$0 ,More than 10:1
IL15,John M Shimkus,"$3,389,735 ",Unopposed,$0 ,More than 10:1
OR02,Greg Walden,"$3,288,308 ",Jim Crary,$0 ,More than 10:1
TX05,Jeb Hensarling,"$3,186,746 ",Ken Ashby,$0 ,More than 10:1
GA06,Tom Price,"$2,462,030 ",Rodney Stooksbury,$0 ,More than 10:1
MN05,Keith Ellison,"$2,457,969 ",Dennis Schuller,$0 ,More than 10:1
SC06,James E Clyburn,"$2,163,339 ",Prince Mallory,$0 ,More than 10:1
IL17,Cheri Bustos,"$2,103,465 ",Patrick Harlan,$0 ,More than 10:1
NM01,Michelle Lujan Grisham,"$1,929,898 ",Richard Priem,$0 ,More than 10:1
NJ03,Thomas MacArthur,"$1,910,488 ",Frederick Lavergne,$0 ,More than 10:1
TX29,Gene Green,"$1,903,402 ",James Galvan Partsch,$0 ,More than 10:1
AL02,Martha Roby,"$1,828,096 ",Nathan Mathis,$0 ,More than 10:1
MN06,Tom Emmer,"$1,718,560 ",David Snyder,$0 ,More than 10:1
NY12,Carolyn B Maloney,"$1,708,670 ",Robert Ardini,$0 ,More than 10:1
NJ11,Rodney Frelinghuysen,"$1,669,365 ",Jeff Hetrick,$0 ,More than 10:1
CA34,Xavier Becerra,"$1,654,425 ",Adrienne Edwards,$1 ,More than 10:1
TX11,Mike Conaway,"$1,622,810 ",Nicholas Landholt,$0 ,More than 10:1
MA06,Seth Moulton,"$1,598,103 ",Unopposed,$0 ,More than 10:1
CT01,John B Larson,"$1,596,988 ",Matthew Mckinnon Corey,$0 ,More than 10:1
OK04,Tom Cole,"$1,525,340 ",Sevier White,$0 ,More than 10:1
KS02,Lynn Jenkins,"$1,523,722 ",James Houston Bales,$0 ,More than 10:1
TN07,Marsha Blackburn,"$1,497,337 ",Tharon Chandler,$0 ,More than 10:1
CA38,Linda Sanchez,"$1,492,188 ",Ryan Downing,$0 ,More than 10:1
MO06,Sam Graves,"$1,460,282 ",Mike Diel,$0 ,More than 10:1
AL04,Robert B Aderholt,"$1,387,066 ",Unopposed,$0 ,More than 10:1
CA22,Devin Nunes,"$1,368,307 ",Louie Campos,$0 ,More than 10:1
GA09,Doug Collins,"$1,326,055 ",Unopposed,$0 ,More than 10:1
TX20,Joaquin Castro,"$1,325,432 ",Paul Pipkin,$0 ,More than 10:1
WI03,Ron Kind,"$1,315,223 ",Unopposed,$0 ,More than 10:1
MO08,Jason Smith,"$1,309,591 ",Jonathan Shell,$0 ,More than 10:1
KY02,Brett Guthrie,"$1,308,027 ",Unopposed,$0 ,More than 10:1
MI09,Sander Levin,"$1,266,214 ",Matthew Orlando,$0 ,More than 10:1
NY17,Nita M Lowey,"$1,255,554 ",Unopposed,$0 ,More than 10:1
HI02,Tulsi Gabbard,"$1,253,602 ",Richard L Turner,$0 ,More than 10:1
OH13,Tim Ryan,"$1,243,065 ",Calvin Sr Hill,$0 ,More than 10:1
NY16,Eliot L Engel,"$1,221,951 ",Unopposed,$0 ,More than 10:1
NC05,Virginia Foxx,"$1,203,666 ",Josh Brannon,$0 ,More than 10:1
TX03,Sam Johnson,"$1,179,891 ",Matthew Alan Lougee,$0 ,More than 10:1
AL01,Bradley Byrne,"$1,171,650 ",Unopposed,$0 ,More than 10:1
MS03,Gregg Harper,"$1,151,288 ",Lajena Sheets,$0 ,More than 10:1
CT03,Rosa L DeLauro,"$1,145,472 ",Angel Cadena,$0 ,More than 10:1
OR03,Earl Blumenauer,"$1,120,680 ",David Delk,$0 ,More than 10:1
WA02,Rick Larsen,"$1,115,965 ",Marc Hennemann,$0 ,More than 10:1
PA18,Tim Murphy,"$1,115,205 ",Unopposed,$0 ,More than 10:1
TX12,Kay Granger,"$1,086,225 ",Bill Bradshaw,$0 ,More than 10:1
