"District","Winner","Winner Spent","Secong-Highest Vote-Getter","Runner-Up Spent","Ratio"
"MD05","Steny H Hoyer","$4172807","Bill Devine","$0","More than 10:1"
"MA01","Richard E Neal","$3264276","Unopposed","$0","More than 10:1"
"MA04","Joe Kennedy III","$2993465","Unopposed","$0","More than 10:1"
"IL03","Daniel Lipinski","$2395214","Art Jones","$0","More than 10:1"
"NM03","Ben Ray Lujan","$2340216","Steve McFall","$0","More than 10:1"
"CA05","Mike Thompson","$2079640","Anthony Mills","$0","More than 10:1"
"NY16","Eliot L Engel","$2051947","Unopposed","$0","More than 10:1"
"GA05","John Lewis","$1893873","David McCaigue","$0","More than 10:1"
"CT01","John B Larson","$1669104","Jennifer T. Nye","$0","More than 10:1"
"RI01","David Cicilline","$1608596","Patrick Donovan","$0","More than 10:1"
"NY04","Kathleen Rice","$1584864","Unopposed","$0","More than 10:1"
"NY08","Hakeem Jeffries","$1482792","Ernest Johnson","$0","More than 10:1"
"HI02","Tulsi Gabbard","$1423628","Brian Evans","$0","More than 10:1"
"NY06","Grace Meng","$1420755","Thomas J Hillgardner","$0","More than 10:1"
"NJ09","Bill Pascrell Jr.","$1399386","Eric Fisher","$0","More than 10:1"
"CA38","Linda Sanchez","$1388214","Ryan Downing","$0","More than 10:1"
"CA18","Anna Eshoo","$1340343","Christine Russell","$0","More than 10:1"
"CT03","Rosa L DeLauro","$1296698","Angel Cadena","$0","More than 10:1"
"IL05","Mike Quigley","$1244036","Tom Hanson","$0","More than 10:1"
"NY20","Paul Tonko","$1241548","Joe Vitollo","$0","More than 10:1"
"DE01","Lisa Blunt Rochester","$1193959","Scott Walker","$0","More than 10:1"
"TX28","Henry Cuellar","$1189200","Arthur Thomas IV","$0","More than 10:1"
"AL07","Terri A Sewell","$1176115","Unopposed","$0","More than 10:1"
"MA05","Katherine Clark","$1156433","John Hugo","$0","More than 10:1"
"CA06","Doris O Matsui","$1118518","Jrmar Jefferson","$0","More than 10:1"
"MI04","John Moolenaar","$1087762","Jerry Hilliard","$0","More than 10:1"
"WI04","Gwen Moore","$1059522","Tim Rogers","$0","More than 10:1"
"IN01","Pete Visclosky","$1045071","Mark Leyva","$0","More than 10:1"
"MI05","Dan Kildee","$1043802","Travis Wines","$0","More than 10:1"
"OK03","Frank D Lucas","$1033153","Frankie Robbins","$0","More than 10:1"
"MS02","Bennie G Thompson","$1027471","Troy Ray","$0","More than 10:1"
"WA02","Rick Larsen","$1018796","Brian Luke","$0","More than 10:1"
"CT02","Joe Courtney","$1018475","Dan Postemski","$0","More than 10:1"
"NY05","Gregory W Meeks","$1000125","Unopposed","$0","More than 10:1"
"NC04","David Price","$967652","Steve Loor","$0","More than 10:1"
"PA02","Brendan Boyle","$966473","David Torres","$0","More than 10:1"
"CA44","Nanette Barragan","$963494","Unopposed","$0","More than 10:1"
"AZ07","Ruben Gallego","$950935","Gary D Swing","$0","More than 10:1"
"TX20","Joaquin Castro","$935617","Jeffrey Blunt","$0","More than 10:1"
"WI02","Mark Pocan","$923814","Unopposed","$0","More than 10:1"
"IL02","Robin Kelly","$912921","David Merkle","$0","More than 10:1"
