District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
MD05,Steny H Hoyer,"$4,172,807 ",Bill Devine,$0 ,More than 10:1
MA01,Richard E Neal,"$3,264,276 ",Unopposed,$0 ,More than 10:1
MA04,Joe Kennedy III,"$2,993,465 ",Unopposed,$0 ,More than 10:1
IL03,Daniel Lipinski,"$2,395,214 ",Art Jones,$0 ,More than 10:1
NM03,Ben Ray Lujan,"$2,340,216 ",Steve McFall,$0 ,More than 10:1
CA05,Mike Thompson,"$2,079,640 ",Anthony Mills,$0 ,More than 10:1
NY16,Eliot L Engel,"$2,051,947 ",Unopposed,$0 ,More than 10:1
GA05,John Lewis,"$1,893,873 ",David McCaigue,$0 ,More than 10:1
CT01,John B Larson,"$1,669,104 ",Jennifer T. Nye,$0 ,More than 10:1
RI01,David Cicilline,"$1,608,596 ",Patrick Donovan,$0 ,More than 10:1
NY04,Kathleen Rice,"$1,584,864 ",Unopposed,$0 ,More than 10:1
NY08,Hakeem Jeffries,"$1,482,792 ",Ernest Johnson,$0 ,More than 10:1
HI02,Tulsi Gabbard,"$1,423,628 ",Brian Evans,$0 ,More than 10:1
NY06,Grace Meng,"$1,420,755 ",Thomas J Hillgardner,$0 ,More than 10:1
NJ09,Bill Pascrell Jr.,"$1,399,386 ",Eric Fisher,$0 ,More than 10:1
CA38,Linda Sanchez,"$1,388,214 ",Ryan Downing,$0 ,More than 10:1
CA18,Anna Eshoo,"$1,340,343 ",Christine Russell,$0 ,More than 10:1
CT03,Rosa L DeLauro,"$1,296,698 ",Angel Cadena,$0 ,More than 10:1
IL05,Mike Quigley,"$1,244,036 ",Tom Hanson,$0 ,More than 10:1
NY20,Paul Tonko,"$1,241,548 ",Joe Vitollo,$0 ,More than 10:1
DE01,Lisa Blunt Rochester,"$1,193,959 ",Scott Walker,$0 ,More than 10:1
TX28,Henry Cuellar,"$1,189,200 ",Arthur Thomas IV,$0 ,More than 10:1
AL07,Terri A Sewell,"$1,176,115 ",Unopposed,$0 ,More than 10:1
MA05,Katherine Clark,"$1,156,433 ",John Hugo,$0 ,More than 10:1
CA06,Doris O Matsui,"$1,118,518 ",Jrmar Jefferson,$0 ,More than 10:1
MI04,John Moolenaar,"$1,087,762 ",Jerry Hilliard,$0 ,More than 10:1
WI04,Gwen Moore,"$1,059,522 ",Tim Rogers,$0 ,More than 10:1
IN01,Pete Visclosky,"$1,045,071 ",Mark Leyva,$0 ,More than 10:1
MI05,Dan Kildee,"$1,043,802 ",Travis Wines,$0 ,More than 10:1
OK03,Frank D Lucas,"$1,033,153 ",Frankie Robbins,$0 ,More than 10:1
MS02,Bennie G Thompson,"$1,027,471 ",Troy Ray,$0 ,More than 10:1
WA02,Rick Larsen,"$1,018,796 ",Brian Luke,$0 ,More than 10:1
CT02,Joe Courtney,"$1,018,475 ",Dan Postemski,$0 ,More than 10:1
NY05,Gregory W Meeks,"$1,000,125 ",Unopposed,$0 ,More than 10:1
NC04,David Price,"$967,652 ",Steve Loor,$0 ,More than 10:1
PA02,Brendan Boyle,"$966,473 ",David Torres,$0 ,More than 10:1
