district,candidate_name,spent,won,lost,incumbent,challenger,open_seat
TN03,Chuck Fleischmann,$593795,1,0,1,0,0
CO04,Ken Buck,$651118,1,0,1,0,0
NC12,Alma Adams,$522111,1,0,1,0,0
AL01,Bradley Byrne,$831634,1,0,1,0,0
CA15,Eric Swalwell,$2415243,1,0,1,0,0
CA08,Paul Cook,$1391209,1,0,1,0,0
WA04,Dan Newhouse,$1053583,1,0,1,0,0
CT04,Jim Himes,$1683479,1,0,1,0,0
NY08,Hakeem Jeffries,$1482792,1,0,1,0,0
NE03,Adrian Smith,$1608377,1,0,1,0,0
MD07,Elijah E Cummings,$1136747,1,0,1,0,0
OR01,Suzanne Bonamici,$746671,1,0,1,0,0
NC06,Mark Walker,$803173,1,0,1,0,0
MI02,Bill Huizenga,$2166958,1,0,1,0,0
MS02,Bennie G Thompson,$1027471,1,0,1,0,0
OR04,Peter DeFazio,$1378880,1,0,1,0,0
MD04,Anthony Brown,$498047,1,0,1,0,0
NV02,Mark Amodei,$1059626,1,0,1,0,0
AR01,Rick Crawford,$965616,1,0,1,0,0
TX19,Jodey Arrington,$1084812,1,0,1,0,0
MI04,John Moolenaar,$1087762,1,0,1,0,0
NJ05,Josh Gottheimer,$2766992,1,0,1,0,0
NC13,Ted Budd,$2250414,1,0,1,0,0
OH09,Marcy Kaptur,$677411,1,0,1,0,0
MI12,Debbie Dingell,$1246412,1,0,1,0,0
TX23,Will Hurd,$5158925,1,0,1,0,0
OK03,Frank D Lucas,$1033153,1,0,1,0,0
IN05,Susan Brooks,$1909690,1,0,1,0,0
CT03,Rosa L DeLauro,$1296698,1,0,1,0,0
TX22,Pete Olson,$1921992,1,0,1,0,0
TX08,Kevin Brady,$5958864,1,0,1,0,0
TX27,Michael Cloud,$682749,1,0,1,0,0
CA47,Alan Lowenthal,$619321,1,0,1,0,0
CA23,Kevin McCarthy,$8217155,1,0,1,0,0
AZ01,Tom O'Halleran,$2714330,1,0,1,0,0
PA12,Tom Marino,$893923,1,0,1,0,0
AL07,Terri A Sewell,$1176115,1,0,1,0,0
PA15,Glenn Thompson,$1440775,1,0,1,0,0
FL14,Kathy Castor,$658645,1,0,1,0,0
