,state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts,total_pop,male_pop_percent,female_pop_percent,under_five_percent,five_to_nine_percent,ten_to_fourteen_percent,fifteen_nineteen_percent,twenty_to_twentyfour_percent,twentyfive_to_thirtyfour_percent,thirtyfive_to_fortyfour_percent,fortyfive_to_fiftyfour_percent,fiftyfive_to_fiftynine_percent,sixty_to_sixtyfour_percent,sixtyfive_to_seventyfour_percent,seventyfive_to_eightyfour_percent,over_eightyfive_percent,median_age,eighteen_and_over_percent,twentyone_and_over_percent,sixtytwo_and_over_percent,sixtyfive_and_over_percent,eighteen_and_over_male_percent,eighteen_and_over_female_percent,sixtyfive_and_over_male_percent,sixtyfive_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units,spent,won,lost,years_in_service
0,IL06,2014.0,ROSKAM PETER,Republican Party,Incumbent,2643875.43,1137871.17,1443315.73,0.0,2543254.32,1143860.44,15607.71,727718.0,49.2,50.8,5.9,6.2,7.5,7.8,5.4,11.1,12.8,16.4,7.7,6.2,7.6,3.5,1.8,40.1,75.2,71.5,16.5,13.0,48.7,51.3,44.4,55.6,77.5,2.1,0.0,8.9,0.0,0.1,10.0,270685.0,4079869,1,0,7.0
1,TX05,2014.0,HENSARLING JEB HON.,Republican Party,Incumbent,2673006.24,1384157.24,1234898.0,0.0,3084464.9,1472329.77,0.0,726896.0,50.4,49.6,6.8,8.0,7.0,6.8,7.0,13.2,13.8,13.2,6.2,5.0,7.7,3.6,1.6,35.8,73.9,69.7,15.9,12.9,49.9,50.1,43.1,56.9,54.0,14.3,0.4,1.8,0.1,0.1,27.9,286382.0,3408251,1,0,11.0
2,LA01,2014.0,SCALISE STEVE MR.,Republican Party,Incumbent,1425973.57,567158.5,854339.38,0.0,1168222.75,858641.66,0.0,781134.0,48.6,51.4,6.1,6.8,6.3,6.4,6.7,14.1,12.1,14.1,7.1,5.9,8.6,4.4,1.6,37.9,77.1,73.2,17.7,14.5,48.0,52.0,44.3,55.7,74.1,12.5,1.1,2.0,0.0,0.2,8.8,330578.0,2735431,1,0,6.0
3,NY14,2014.0,CROWLEY JOSEPH,Democratic Party,Incumbent,2522320.53,623251.17,1286586.77,0.0,1946781.49,1364191.18,0.0,727544.0,51.3,48.7,6.3,5.5,5.4,5.2,7.6,18.6,14.7,13.8,5.6,4.9,6.6,4.0,1.8,35.7,79.7,76.2,15.1,12.3,50.9,49.1,40.1,59.9,22.8,9.7,0.0,16.0,0.0,0.4,49.8,262554.0,2668960,1,0,15.0
4,TX08,2014.0,BRADY KEVIN,Republican Party,Incumbent,2018388.2,439001.78,1223160.02,0.0,1010201.52,1325444.21,0.0,761764.0,51.0,49.0,6.8,7.4,7.6,7.2,6.3,12.8,13.9,13.8,6.4,5.6,7.6,3.6,1.1,36.1,73.8,69.6,15.6,12.3,51.0,49.0,45.9,54.1,65.5,8.4,0.1,2.2,0.0,0.0,22.4,290582.0,2184911,1,0,17.0
5,SC06,2014.0,CLYBURN JAMES E.,Democratic Party,Incumbent,1728269.63,329211.1,1394189.18,0.0,1497641.59,1463938.05,4559.0,678025.0,48.8,51.2,6.6,6.4,5.9,7.5,10.5,13.5,10.9,12.8,6.5,6.0,8.0,3.8,1.6,34.6,77.6,71.2,16.8,13.5,48.2,51.8,42.8,57.2,35.3,57.3,0.2,0.9,0.1,0.0,4.4,293018.0,2184698,1,0,21.0
6,MA05,2014.0,CLARK KATHERINE,Democratic Party,Incumbent,2013073.74,1462376.55,298939.31,250000.0,1539510.48,473563.26,250000.0,754065.0,48.2,51.8,5.9,5.4,5.6,6.2,7.1,15.8,13.5,14.5,6.9,4.9,7.6,4.2,2.4,38.0,79.8,75.4,17.0,14.2,47.5,52.5,41.4,58.6,74.4,4.4,0.1,9.7,0.0,0.4,8.8,301653.0,1943088,1,0,1.0
7,CA05,2014.0,THOMPSON MIKE MR.,Democratic Party,Incumbent,1423649.7,482796.64,917901.61,0.0,1083904.04,1656776.01,9562.42,715332.0,48.9,51.1,5.6,5.4,6.1,6.4,7.1,13.4,12.2,14.4,7.4,6.7,8.9,4.1,2.3,40.2,79.0,75.1,19.2,15.3,48.3,51.7,43.7,56.3,52.3,5.7,0.6,10.3,0.4,0.1,27.0,284588.0,1712297,1,0,15.0
8,TX13,2014.0,THORNBERRY MAC,Republican Party,Incumbent,1250533.94,726498.6,520004.86,0.0,1290583.94,421550.31,0.0,700874.0,50.7,49.3,6.9,7.4,6.8,7.3,7.0,13.6,12.1,12.6,6.8,5.2,7.8,4.7,1.7,35.7,74.8,70.3,17.2,14.3,50.4,49.6,44.1,55.9,65.0,5.3,0.4,1.8,0.1,0.0,25.6,302878.0,1693676,1,0,19.0
9,TX21,2014.0,SMITH LAMAR,Republican Party,Incumbent,1171015.43,543086.0,621379.13,0.0,1166601.3,880972.81,0.0,743443.0,48.6,51.4,5.4,5.2,6.0,6.6,7.9,15.9,12.3,13.6,6.3,6.3,8.3,4.1,2.1,37.9,79.7,75.0,18.0,14.5,48.2,51.8,45.1,54.9,64.8,3.4,0.1,2.9,0.1,0.0,26.9,339840.0,1567732,1,0,27.0
